positive_00001	36480 41600 41600 49760
positive_00002	63520 67840 67840 75520
positive_00003	28320 32640 32640 42880
positive_00004	19440 23120 23120 32240
positive_00005	17920 24480 24480 36160
positive_00006	12080 16720 16720 25840
positive_00007	11120 15120 15120 23920
positive_00008	17040 24400 24400 37040
positive_00009	25040 28560 28560 37360
positive_00010	11600 19760 19760 31760
positive_00011	46160 52720 52720 62320
positive_00012	28720 34960 34960 45360
positive_00013	41600 49280 49280 60320
positive_00014	27440 34480 34480 45840
positive_00015	31440 36720 36720 44720
positive_00016	41600 47680 48640 59040
positive_00017	62080 71520 72000 83680
positive_00018	35680 46080 46080 56640
positive_00019	27360 36800 36800 47680
positive_00020	25920 36640 37120 49120
positive_00021	64800 70400 70400 78240
positive_00022	57840 64400 64400 74000
positive_00023	42960 48880 48880 57840
positive_00024	7920 13520 13520 21840
positive_00025	8560 13680 13680 22640
positive_00026	8400 14320 14320 22480
positive_00027	9040 14960 14960 23760
positive_00028	8560 14000 14000 22320
positive_00029	8720 14960 14960 24240
positive_00030	6640 12240 12240 20720
positive_00031	32560 38800 38800 47120
positive_00032	44480 51040 51040 59040
positive_00033	19280 25040 25040 33040
positive_00034	37200 43920 43920 51280
positive_00035	15520 21600 21600 28960
positive_00036	20640 27520 27520 35520
positive_00037	14960 21200 21200 29200
positive_00038	13040 18160 18160 26480
positive_00039	17200 22800 22800 31760
positive_00040	17040 23280 23280 32720
positive_00041	52640 57760 57760 66720
positive_00042	53840 59600 59600 68560
positive_00043	28560 33840 33840 42160
positive_00044	34400 40000 40000 48640
positive_00045	52320 57280 57280 65920
positive_00046	47680 52320 52320 60960
positive_00047	36960 42240 42240 50400
positive_00048	3600 9840 9840 19600
positive_00049	5520 11440 11440 21200
positive_00050	6000 12080 12080 21520
positive_00051	15520 22400 22880 31520
positive_00052	29440 35520 35520 42880
positive_00053	20080 26480 26480 34960
positive_00054	35040 41280 41280 48800
positive_00055	47280 53360 53360 60880
positive_00056	19920 27120 27120 34640
positive_00057	17680 24240 24240 32880
positive_00058	17360 24080 24080 32560
positive_00059	18000 24560 24560 34320
positive_00060	15440 22000 22000 31280
positive_00061	41680 47120 47120 56080
positive_00062	16160 23520 23520 33440
positive_00063	46400 52960 52960 62560
positive_00064	46960 54160 54160 63600
positive_00065	18800 24560 24560 33840
positive_00066	18000 23600 23600 33200
positive_00067	19120 25360 25360 34480
positive_00068	18960 24240 24240 32880
positive_00069	21040 26800 26800 35920
positive_00070	14800 19920 19920 28560
positive_00071	44960 52000 52000 62880
positive_00072	44240 50160 50160 59120
positive_00073	17200 24080 24080 33840
positive_00074	51920 58160 58160 67600
positive_00075	52080 58800 58800 68560
positive_00076	18640 25200 25200 34480
positive_00077	30000 36880 36880 47760
positive_00078	19760 26320 26320 36240
positive_00079	20880 27440 27440 37520
positive_00080	17520 24880 24880 34480
positive_00081	60160 65920 65920 74240
positive_00082	70480 75760 75760 83760
positive_00083	42800 48400 48400 56560
positive_00084	58640 64400 64400 72240
positive_00085	32160 37280 37280 44800
positive_00086	15760 21680 21680 30640
positive_00087	19760 25680 25680 34480
positive_00088	17840 23920 23920 33200
positive_00089	14640 20560 20560 29680
positive_00090	11440 17200 17200 26320
positive_00091	28480 33600 33600 40160
positive_00092	18640 22320 22320 29040
positive_00093	36480 39680 39680 46400
positive_00094	33040 36720 36720 44560
positive_00095	12960 16800 16800 23360
positive_00096	14480 18800 18800 26320
positive_00097	14160 18480 18480 25520
positive_00098	8880 13680 13680 22000
positive_00099	13040 18160 18160 25840
positive_00100	13200 17680 17680 24720
positive_00101	53600 58720 58720 66560
positive_00102	19760 25040 25040 33360
positive_00103	54320 58960 58960 66800
positive_00104	11440 17680 17680 27760
positive_00105	8080 14160 14160 25200
positive_00106	9680 15280 15280 24080
positive_00107	11600 19120 19120 29520
positive_00108	9200 15920 15920 26640
positive_00109	7760 15440 15440 26960
positive_00110	9680 16240 16240 27120
positive_00111	58560 65760 65760 75680
positive_00112	43440 50160 50160 58800
positive_00113	20160 27200 27200 35840
positive_00114	51440 57520 57520 64880
positive_00115	11760 17680 17680 24720
positive_00116	11600 17520 17520 24560
positive_00117	12880 18480 18480 26000
positive_00118	17680 23280 23280 31280
positive_00119	11600 17040 17040 24720
positive_00120	12560 18320 18320 25040
positive_00121	66720 73920 73920 83200
positive_00122	38880 44480 44480 52320
positive_00123	37120 41600 41600 49280
positive_00124	40800 45760 45760 53760
positive_00125	51040 56000 56000 64320
positive_00126	15600 21040 21040 29680
positive_00127	13200 18320 18320 26160
positive_00128	13200 18480 18480 26800
positive_00129	16720 21840 21840 29840
positive_00130	11280 15280 15280 23280
positive_00131	45360 52240 52240 62640
positive_00132	50640 57360 57360 65360
positive_00133	50480 56400 56400 64400
positive_00134	64400 69360 69360 78320
positive_00135	41680 47120 47120 55280
positive_00136	7920 13840 13840 22000
positive_00137	11760 16400 16400 23760
positive_00138	6800 12080 12080 19600
positive_00139	1520 5840 5840 13520
positive_00140	13040 19280 19280 26960
positive_00141	63760 68880 68880 76880
positive_00142	58800 63920 63920 71440
positive_00143	63680 68960 68960 76800
positive_00144	16560 22000 22000 30800
positive_00145	22320 27760 27760 37040
positive_00146	12720 17520 17520 26480
positive_00147	18160 23120 23120 31600
positive_00148	19600 25840 25840 34800
positive_00149	18960 24240 24240 33200
positive_00150	14640 19120 19120 27600
positive_00151	31440 37840 37840 46640
positive_00152	20240 28080 28080 36560
positive_00153	50880 56800 56800 66560
positive_00154	50720 56160 56160 64000
positive_00155	23040 29920 29920 38880
positive_00156	13120 19840 19840 28800
positive_00157	16720 22800 22800 30800
positive_00158	10000 15920 15920 23920
positive_00159	13840 19920 19920 28560
positive_00160	17840 24880 24880 33040
positive_00161	66240 73440 73920 82240
positive_00162	47280 53360 53360 61200
positive_00163	36960 43840 43840 52160
positive_00164	16720 24560 24560 34000
positive_00165	21360 28560 28560 37520
positive_00166	18320 25840 25840 34960
positive_00167	15600 23600 23600 33360
positive_00168	16560 23280 23280 31760
positive_00169	13840 21360 21360 30960
positive_00170	14160 21840 21840 30640
positive_00171	25920 31520 31520 38880
positive_00172	29200 33840 33840 40560
positive_00173	30320 34160 34160 41520
positive_00174	37600 43360 43360 51360
positive_00175	6960 12560 12560 19760
positive_00176	8240 13040 13040 21040
positive_00177	10160 15280 15280 23280
positive_00178	7440 12560 12560 19760
positive_00179	6800 12080 12080 19280
positive_00180	7120 12240 12240 18960
positive_00181	54960 61200 61200 69680
positive_00182	22000 27600 27600 35440
positive_00183	26400 31360 31360 36000
positive_00184	12560 18160 18160 26320
